STATEID,DISTID,PSUID,SCHOOLID,SQGOVT,SS1,SS3,SS4,SS5,SS6,SS7,SS8,SS9,SS10,SS11,SS12,SS13
1,2,1,1,1,1,1,1,5,1,1,25,15,1,2,3,2
1,2,1,1,1,2,2,3,5,1,2,26,15,1,2,3,2
1,2,1,1,1,3,3,3,99,1,2,35,0, ,2,5,0
1,2,1,2,2,1,1,3,2,2,2,25,15,0,2,3,4
1,2,1,2,2,2,2,1,2,1,2,21,15,0,2,3,1
1,2,2,1,1,1,1,1,5,1,1,35,17,1,2,2,5
1,2,2,1,1,2,2,2,5,1,2,32,17,1,2,2,1
1,2,2,2,2,1,1,1,5,1,1,27,15,1,2,2,0
1,2,2,2,2,2,2,3,5,1,1,24,15,1,2,2,0
1,2,2,2,2,3,2,3,5,1,1,34,12,0,2,2,0
1,2,2,2,2,4,2,3,4,1,1,26,15,1,2,2,0
1,2,2,2,2,5,2,3,4,1,1,25,15,1,2, ,0
1,2,3,1,1,1,1,2,5,1,1,44,15,1,2,2,12
1,2,3,1,1,2,2,1,5,1,1,30,17,1,2,2,0
1,2,3,1,1,3,2,3,5,1,1,30,15,1,2,2,0
1,2,3,1,1,4,2,3,5,1,2,28,15,1,2,2,0
1,2,3,1,1,5,5,3,99,1,2,28,10,0,2,2,0
1,2,3,1,1,6,3,3,99,1,2,44,0, ,2,2,0
1,2,3,1,1,7,5,3,99,2,1,48,5, ,2,2,0
1,2,3,2,2,1,1,1,5,1,1,63,15,1,2,6,0
1,2,3,2,2,2,2,3,5,1,1,25,15,1,2,6,5
1,2,3,2,2,3,2,3,5,1,2,26,15,1,2,3,0
1,2,3,2,2,4,4,3,5,1,1,28,17,1,2,3,0
1,2,3,2,2,5,2,3,3,1,1,27,12,1,2,3,1
1,2,3,2,2,6,5,3,99,1,2,28,8,0,2,3,0
1,2,3,2,2,7,4,3,8,1,1,28,15,1,2,3,2
1,2,3,2,2,8,4,3,8, ,1,28,15,1,2,3,2
1,2,3,2,2,9,4,3,8, ,2,30,12,1,2,3,2
1,2,4,1,1,1,1,1,5,1,1,55,17,1,2,2,5
1,2,4,1,1,2,2,2,5,1,1,42,15,1,2,2,1
1,2,4,1,1,3,2,2,4,1,1,33,17,0,2,2,0
1,2,4,1,1,4,2,2,5,1,2,37,15,0,2,2,2
1,2,4,1,1,5,3,3,99,1,2,40,0, ,2,2,0
1,2,4,2,2,1,1,3,5,1,1,72,17,1,2, ,1
1,2,4,2,2,2,2,1,5,1,1,72,17,1,2, ,1
